symbol,ffmc
RELIANCE,8430042138154.0
NTPC,1449166753726.3
ULTRACEMCO,1159250208114.4
TATASTEEL,1108272536461.5
HINDALCO,812144051412.2
JSWSTEEL,803913645874.91
COALINDIA,796021129813.61
GRASIM,784107158274.44
ONGC,782707231359.7
ADANIGREEN,552684771898.98
TATAPOWER,468462340306.58
IOC,454717997170.98
BPCL,427603100897.28
ADANIPOWER,420406344569.0
PIDILITIND,402817528080.0
SHREECEM,385075192660.69
AMBUJACEM,383507519529.06
SRF,354245747789.33
UPL,307024796436.44
VEDL,305703041095.36
APLAPOLLO,281821410085.82
PIIND,273396048636.0
JINDALSTEL,265765592087.6
HINDPETRO,245699666095.73
DALBHARAT,186369829889.88
ACC,179071962230.54
SAIL,160976896825.55
TATACHEM,159830267473.03
DEEPAKNTR,156851997150.0
NAVINFLUOR,133087740951.2
