symbol,ffmc
INFY,5627297535940.64
ITC,4060832291158.4
TCS,3965972602167.24
HINDUNILVR,2258852397052.82
HCLTECH,1580773689549.76
ASIANPAINT,1493418682750.45
NESTLEIND,870869169827.04
TECHM,816728897617.6
COALINDIA,796021129813.61
BAJAJ-AUTO,710330492376.04
BRITANNIA,581765221001.92
LTIM,561851708218.94
HEROMOTOCO,505414666360.5
DIVISLAB,472236747590.4
PIDILITIND,402817528080.0
HAVELLS,332994294820.8
COLPAL,318748940010.52
DABUR,316157079279.2
HDFCAMC,304122901880.0
MARICO,276342758908.8
PAGEIND,227401836949.8
BERGEPAINT,163385490597.12
MUTHOOTFIN,161582445464.05
COROMANDEL,145819002784.28
LTTS,144500153758.06
IGL,140175160200.0
OFSS,102010846672.61
LALPATHLAB,90671973285.36
ABBOTINDIA,77569380090.0
SUNTV,57330445306.05
