symbol,ffmc
PFC,600130105259.52
COFORGE,391575468212.28
INDHOTEL,388277796688.44
FEDERALBNK,381523023717.0
PERSISTENT,366156846000.0
AUBANK,363744472787.14
BHARATFORG,306520275877.2
HDFCAMC,304122901880.0
IDFCFIRSTB,298371426702.32
AUROPHARMA,290152111667.93
POLYCAB,263946327137.45
CUMMINSIND,262161622800.0
ASHOKLEY,251629043680.48
HINDPETRO,245699666095.73
MRF,244393965342.94
CONCOR,236290441097.88
GODREJPROP,233344627171.68
ASTRAL,231652112973.2
PAGEIND,227401836949.8
MPHASIS,220053058500.0
JUBLFOOD,216231272040.0
BALKRISIND,203539803007.2
VOLTAS,196803625657.2
BANDHANBNK,187255094852.27
ABBOTINDIA,77569380090.0
