symbol,ffmc
ICICIBANK,7252268874899.4
LT,4127165163234.72
ITC,4060832291158.4
AXISBANK,3105215993169.0
BHARTIARTL,2515254615615.6
SBIN,2487905144229.25
HINDUNILVR,2258852397052.82
M&M,1541239581372.05
TITAN,1502655757089.0
NTPC,1449166753726.3
MARUTI,1368681252331.36
SUNPHARMA,1337749212523.5
ULTRACEMCO,1159250208114.4
NESTLEIND,870869169827.04
GRASIM,784107158274.44
BAJAJ-AUTO,710330492376.04
PFC,600130105259.52
BRITANNIA,581765221001.92
TATACONSUM,575053566291.75
IOC,454717997170.98
PIDILITIND,402817528080.0
GODREJCP,393429885190.51
SIEMENS,348107549262.5
COLPAL,318748940010.52
DABUR,316157079279.2
CUMMINSIND,262161622800.0
ALKEM,242333624610.0
TORNTPHARM,191898564480.0
ZYDUSLIFE,163597493965.88
ABBOTINDIA,77569380090.0
