symbol,ffmc
HDFCBANK,12443346805896.07
ICICIBANK,7252268874899.4
INFY,5627297535940.64
TCS,3965972602167.24
AXISBANK,3105215993169.0
KOTAKBANK,2719460179940.66
BHARTIARTL,2515254615615.6
SBIN,2487905144229.25
BAJFINANCE,2043283176254.32
HCLTECH,1580773689549.76
NTPC,1449166753726.3
POWERGRID,1081446310261.86
INDUSINDBK,1023734416195.85
BAJAJFINSV,938737752904.81
ADANIPORTS,861593019602.7
TECHM,816728897617.6
HDFCLIFE,722621630976.0
SBILIFE,655330085374.86
WIPRO,628755120468.11
DMART,604923086845.47
SHRIRAMFIN,576644039276.5
LTIM,561851708218.94
APOLLOHOSP,559297872338.31
ADANIGREEN,552684771898.98
MAXHEALTH,508739267410.08
TATAPOWER,468462340306.58
NAUKRI,404454759120.0
GAIL,393046306459.25
ICICIGI,371091756282.0
ADANIENSOL,350041603925.4
