symbol,ffmc
HDFCBANK,12443346805896.07
RELIANCE,8430042138154.0
ICICIBANK,7252268874899.4
INFY,5627297535940.64
LT,4127165163234.72
ITC,4060832291158.4
TCS,3965972602167.24
AXISBANK,3105215993169.0
KOTAKBANK,2719460179940.66
BHARTIARTL,2515254615615.6
SBIN,2487905144229.25
HINDUNILVR,2258852397052.82
BAJFINANCE,2043283176254.32
HCLTECH,1580773689549.76
M&M,1541239581372.05
TITAN,1502655757089.0
ASIANPAINT,1493418682750.45
NTPC,1449166753726.3
MARUTI,1368681252331.36
SUNPHARMA,1337749212523.5
TATAMOTORS,1289387436156.53
ULTRACEMCO,1159250208114.4
TATASTEEL,1108272536461.5
POWERGRID,1081446310261.86
INDUSINDBK,1023734416195.85
ADANIENT,987503171043.83
BAJAJFINSV,938737752904.81
NESTLEIND,870869169827.04
ADANIPORTS,861593019602.7
TECHM,816728897617.6
HINDALCO,812144051412.2
JSWSTEEL,803913645874.91
COALINDIA,796021129813.61
GRASIM,784107158274.44
ONGC,782707231359.7
HDFCLIFE,722621630976.0
BAJAJ-AUTO,710330492376.04
DRREDDY,682379544203.28
SBILIFE,655330085374.86
CIPLA,632435915897.31
WIPRO,628755120468.11
BRITANNIA,581765221001.92
TATACONSUM,575053566291.75
LTIM,561851708218.94
APOLLOHOSP,559297872338.31
EICHERMOT,555764265000.0
HEROMOTOCO,505414666360.5
DIVISLAB,472236747590.4
BPCL,427603100897.28
UPL,307024796436.44
